NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3779,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,1785340,23,2
3781,MUKAPAYUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,5792800,23,2
3782,RAJAMANDALA KULON,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3498300,23,2
3785,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,6148020,23,2
3786,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3520400,23,2
3790,CIPATAT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,2176951,21,2
3802,BATULAYANG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION ADV,3300000,29,2
3804,MANDALAWANGI,CIPATAT,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,5709340,23,2
3806,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,CB 150 R,4250000,35,2
3807,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,3360105,23,2
3810,WANGUNJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2924820,23,2
3811,TANJUNG WANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3291600,35,2
3814,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 BF SE,6000000,29,2
3815,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,5625000,35,2
3818,MEKARSARI,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3800000,29,2
3823,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150 SCDZ,2300000,23,2
3824,CIPATAT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1900000,23,2
3826,SIRNAGALIH,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3089460,23,2
3827,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,CRF 150 L,6100000,23,2
3828,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,2994050,29,2
3831,CICADAS,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6200000,35,2
3832,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,3706800,17,2
3833,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,FINO FI SPORTY,2800000,23,2
3834,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250,22200000,29,2
3838,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BLADE REPSOL,3650000,23,2
