NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
1479,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1161878,34,2
1480,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW R15 155 VVA,8115088,26,1
1481,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,GENIO ISS,1532980,31,2
1482,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,XMAX,14300000,29,2
1483,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,PCX150,5189140,29,2
1484,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,CB 150 R STREETFIRE,4900000,35,2
1485,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,2245076,30,2
1486,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,2942309,30,2
1487,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,4700000,35,2
1488,CIPADA,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,4300000,35,2
1489,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3049567,25,2
1490,KARANGTANJUNG,CILILIN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2490552,29,2
1491,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW X-RIDE 125,5558594,28,2
1492,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,1748810,32,1
1493,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,7400000,35,2
1494,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,35,2
1495,CIPADA,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3810231,25,2
1496,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,8600000,29,2
1497,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,6200000,35,2
1498,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CW FI,3800189,23,2
1499,TUGUMUKTI,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,4300000,33,2
1500,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1483940,23,1
1501,CIPADA,CISARUA,KAB. BANDUNG,MOTOR BARU,HONDA,NEW CBR 150R STANDAR,9000000,35,2
1502,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3188268,30,1
1503,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,4400000,33,2
1504,RAJAMANDALA KULON,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,9733100,23,1
1505,SUKARESMI,RONGGA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,3383000,23,1
1506,SELACAU,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,3024239,31,2
1507,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,8000000,29,2
1508,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1539860,35,1
1509,CELAK,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2273000,35,1
