NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3267,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2800000,11,0
3268,NANGGELENG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,6500000,35,1
3269,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33,1
3270,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT CW FI,4000000,17,0
3271,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,FREEGO S,2700000,17,1
3272,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2600000,23,0
3273,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,3600000,23,0
3274,NGAMPRAH,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,NEW AEROX 155 C,4500000,35,1
3275,SIRNAGALIH,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW JUPITER MX CW,1900000,23,0
3276,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2500000,17,0
3277,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29,1
3278,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,3000000,23,1
3279,SUKAMANAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW SUPRA X 125 CW,2300000,35,0
3280,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,KAWASAKI,NINJA R - KR 150 L,3900000,11,0
3281,JATIMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,3500000,35,1
3282,GIRIMUKTI,SAGULING,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1900000,23,0
3283,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3500000,23,0
3284,CIMERANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2700000,33,1
3285,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,3400000,33,1
3286,CIROYOM,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,3400000,33,1
3287,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1900000,11,0
3288,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,2300000,17,0
3289,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CBS FI,3050000,17,0
3290,CIGUGUR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,33,0
3291,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6400000,17,0
3292,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,4200000,17,0
3293,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,4600000,33,1
3294,CIPTAGUMATI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5100000,29,1
3295,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2700000,23,1
3296,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO GT,1900000,11,0
3297,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,9100000,11,0
3298,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3125000,23,0
3299,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3200000,23,0
3300,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2100000,11,0
3301,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1500000,11,0
3302,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,LEXI,10900000,11,0
3303,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3800000,35,0
3304,CIKANDE,SAGULING,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3100000,17,0
3305,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,33,1
3306,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VERZA 150 CW,1000000,17,0
3307,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3825000,17,0
3308,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 125ESP CBS ISS,5500000,23,0
3309,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,3000000,29,0
3310,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5225000,11,0
3311,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,3500000,17,0
3312,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,SUZUKI,SATRIA FU 150,3325000,29,0
3313,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,3500000,17,0
3314,TANJUNG WANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33,1
3315,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,32,1
3316,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,2750000,35,1
3317,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,23,0
3318,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,3800000,35,1
3319,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW REVO CW,2000000,11,0
3320,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,4825000,29,0
3321,TANJUNGJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,4000000,33,1
3322,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,SUPRA X 125 CW,3000000,35,1
3323,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CB 150 R,2500000,35,1
3324,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,N-MAX,4500000,35,0
3325,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33,1
3326,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2700000,33,1
3327,RAJAMANDALA KULON,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,3450000,33,1
