NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
9754,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI S,2959352,32
9755,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2712765,29
9756,JAYAGIRI,LEMBANG,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4125517,33
9757,TANJUNG WANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,2257937,28
9758,GUNUNGHALU,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15 GP MOVISTAR,3841546,30
9759,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,VIAR,CROSS X 150,2826227,31
9760,CIPTAHARJA,CIPATAT,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW R15 155 VVA,7800000,35
9761,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,MIO M3 125,3352466,28
9762,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,X - RIDE,-116600,35
9763,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,2976040,35
9764,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,ALL NEW NMAX 155,11290300,23
9765,TANIMULYA,NGAMPRAH,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,R15,2797280,35
9766,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 ESP CBS,3398354,28
9767,SIRNAGALIH,CIPONGKOR,KAB. BANDUNG,MOTOR BARU,KAWASAKI,W175 SE,9300000,35
9768,GADOBANGKONG,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,HONDA,NSCOOPY FI SPRT MTRO,4100000,23
9769,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW PCX 150 ABS,6608920,35
9770,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,BENELLI,MOTOBI EVO,11000000,23
9771,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5600000,33
9772,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,WR 155 R,8500000,23
9773,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,33
9774,JAYAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,R15,5000000,35
9775,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,2918400,23
9776,CITATAH,CIPATAT,KAB. BANDUNG,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,5500000,23
9777,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,5300000,35
9778,KARANGTANJUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),4100000,29
9779,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W 175 CAFE,11900000,23
9780,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5500000,23
9781,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,4300000,23
9782,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,35
9783,CIHIDEUNG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,3800000,33
9784,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CB 150 R STREETFIRE,4575000,35
9785,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT CW FI,2499160,23
9786,KERTAJAYA,PADALARANG,KAB. BANDUNG,MOTOR BEKAS,KAWASAKI,NINJA 250,14000000,24
9787,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6300000,33
9788,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW PCX 160 ABS,11300000,35
9789,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,KAWASAKI,W 175 CAFE,9500000,27
9790,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,21
9791,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,GEAR 125,2600000,29
9792,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5628600,35
9793,TANIMULYA,NGAMPRAH,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,FINO FI SPORTY,2700000,36
9794,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,6800000,35
9795,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,35
9796,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,33
9797,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,CB 150 R STREETFIRE,4929800,17
9798,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA RR 250 MONO,5100000,29
