NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
2808,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,7800000,23
2809,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5600000,22
2810,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,1829540,23
2811,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW CBR 150R STANDAR,9000000,35
2812,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,5400000,33
2813,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,FREEGO,4500000,35
2814,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,23
2815,CIROYOM,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
2816,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,35
2817,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125 S-VERSION,3500000,35
2818,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2300000,23
2819,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5200000,29
2820,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,5000000,23
2821,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,5100000,29
2822,BATUJAJAR BARAT,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW XSR 155,15000000,21
2823,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,2800000,34
2824,CIMERANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,WR 155 R,8500000,29
2825,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,4500000,35
2826,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,NEW AEROX 155 C,4600000,29
2827,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BARU,YAMAHA,NMAX ABS,12898977,18
2828,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,7643652,19
2829,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,NBEAT FI CW + SPORTY,4906340,21
2830,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,5922658,19
2831,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 ESP CBS,9168938,17
2832,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,4800000,29
2833,SUMURBANDUNG,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3300000,23
2834,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,ALL NEW VIXION,10348800,17
2835,PANGAUBAN,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2700000,35
2836,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY FASHION,5000000,35
2837,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,33
2838,KARANGTANJUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI POP CW,2100000,23
2839,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,11825000,17
2840,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,2600000,31
2841,MARGALAKSANA,CIPEUNDEUY,KAB. BANDUNG,MOTOR BARU,YAMAHA,N-MAX,7100000,23
2842,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125,3500000,35
2843,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,4200000,33
2844,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,3600000,22
2845,MANDALAWANGI,CIPATAT,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7500000,35
2846,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,SUZUKI,SATRIA FU 150 SCDZ,1650000,17
2847,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,3900000,33
2848,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,35
2849,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 ESPCBS ISS,3300000,23
2850,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3200000,35
2851,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4100000,17
2852,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,2900000,23
2853,PUTERAN,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,22
2854,CIKANDE,SAGULING,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7900000,29
2855,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,33
2856,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,4600000,35
2857,SINGAJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6100000,17
2858,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33
2859,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CBR 250 RR ABS,26000000,35
2860,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,SONIC 150 R,9400000,17
2861,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,3400000,17
2862,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,3000000,23
2863,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2000000,17
2864,MANDALAWANGI,CIPATAT,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,9900000,29
2865,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,8000000,23
2866,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,N-MAX,6100000,23
2867,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,4300000,23
2868,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3700000,23
2869,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2200000,17
2870,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4000000,33
2871,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO M3 CW,1900000,17
2872,BATUJAJAR TIMUR,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,17
2873,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP EXCLSV,7500000,23
2874,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW CBR 150R STANDAR,9000000,35
2875,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5200000,33
2876,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2700000,23
2877,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2200000,17
2878,CIROYOM,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
2879,JATIMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,3200000,17
2880,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,6600000,35
2881,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,33
2882,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,2700000,17
2883,NANGGELENG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2900000,33
2884,CISOMANG BARAT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,35
2885,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2700000,23
2886,CISOMANG BARAT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,23
2887,BUNIJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3400000,17
2888,SADANGMEKAR,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2800000,33
2889,CIBEDUG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5200000,23
2890,CIHAMPELAS,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2700000,35
2891,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,2100000,23
2892,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5200000,23
2893,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,5700000,23
2894,CIPATAT,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,35
2895,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,3400000,35
2896,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,5100000,23
2897,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3550000,23
2898,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2200000,23
2899,CIBEDUG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6200000,23
2900,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,6500000,23
2901,JATIMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,FINO FI SPORTY,3000000,23
2902,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,PCX150,4300000,35
2903,KARANGANYAR,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2000000,23
2904,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2600000,35
2905,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,NEWBEAT FICW-CBSPLUS,2600000,33
2906,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY FASHION,3200000,22
2907,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35
2908,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,XMAX,12200000,35
2909,NANGGELENG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
2910,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6500000,24
2911,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5600000,23
2912,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,CB VERZA 150,3200000,23
2913,KARANGSARI,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION ADV GP,3300000,23
2914,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2700000,35
2915,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5400000,23
2916,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2700000,17
2917,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,6300000,23
2918,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,2900000,11
2919,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,2225000,35
2920,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,4600000,33
2921,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33
2922,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4800000,11
2923,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,MIO M3 125,1900000,17
2924,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,33
2925,SIRNAGALIH,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,35
2926,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,MIO M3 125,3000000,35
2927,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5500000,22
2928,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1500000,23
2929,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,6700000,23
2930,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,FINO SPORTY,2000000,11
2931,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEWBEAT FICW-CBSPLUS,2600000,33
2932,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,NEWBEAT FICW-CBSPLUS,2600000,33
2933,CIPANGERAN,SAGULING,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4000000,33
2934,CIBITUNG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,D TRACKER 150,3500000,17
2935,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,JUPITER MX CW,2600000,11
2936,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3900000,23
2937,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,GENIO ISS,2800000,33
2938,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,FINO GRANDE 125,3000000,35
2939,CIPTAGUMATI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,35
2940,SITUWANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,3800000,35
2941,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,11
2942,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO ISS,2800000,33
2943,SUKARESMI,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,2500000,29
2944,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3200000,17
2945,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALLNEW NMAX 155C ABS,5600000,23
2946,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,8800000,35
2947,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,5300000,29
2948,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
2949,MELONG,CIMAHI SELATAN,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,3200000,35
2950,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2500000,23
2951,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,3200000,22
2952,CIPTAHARJA,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,CB 150 R,5500000,35
2953,KERTAMULYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,33
2954,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,CBR 150 R,4600000,17
2955,MEKARJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,23
2956,KERTAMUKTI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,3300000,23
2957,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W 175 CAFE,9825000,11
2958,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,5000000,33
2959,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,1700000,23
2960,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEWBEAT FICW-CBSPLUS,2600000,33
2961,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,33
2962,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29
2963,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CB150R MMC SE,4400000,23
2964,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,XEON RC,1800000,17
2965,NYENANG,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,4600000,35
2966,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
2967,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125,2700000,35
2968,CIRAWAMEKAR,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,SONIC 150 R,3600000,35
2969,CIHAMPELAS,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,9100000,23
2970,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
2971,CIPATAT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,6000000,23
2972,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2300000,11
2973,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
2974,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,GENIO ISS,3000000,33
2975,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29
2976,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW REVO CW,3200000,11
2977,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,11600000,17
2978,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,5500000,29
2979,PASIRLANGU,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125,3100000,23
2980,BOJONGMEKAR,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7600000,29
2981,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2000000,11
2982,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,SUPRA X 125 PGMFI CW,2600000,23
2983,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,LEXI,3000000,11
2984,WANGUNSARI,SINDANGKERTA,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4100000,17
2985,CICANGKANG GIRANG,SINDANGKERTA,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,11300000,11
2986,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,5500000,11
2987,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SUPRA X 125 PGMFI CW,1900000,17
2988,MUKAPAYUNG,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1700000,11
2989,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,5200000,29
2990,CITALEM,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW VIXION,4300000,23
2991,KARANGANYAR,CILILIN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2200000,23
2992,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,VESPA S125 IGET3V IE,8500000,33
2993,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2000000,35
2994,SIRNAGALIH,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3000000,11
2995,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,GENIO ISS,4400000,11
2996,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW PCX 150 ABS,7100000,23
2997,BUNIJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,3200000,11
2998,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT CBS FI,2600000,23
2999,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,29
3000,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6500000,35
3001,SUKAHAJI,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION KS SE,1900000,17
3002,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,GEAR 125,2700000,35
3003,SELACAU,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3500000,35
3004,KARANGMEKAR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,32
3005,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,23
3006,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,11
3007,CICANGKANG GIRANG,SINDANGKERTA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2700000,33
3008,SITUWANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,11000000,11
3009,MARGALUYU,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,LEXI,4400000,11
3010,CIBEDUG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6500000,23
3011,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,4800000,17
3012,PASIRHALANG,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW MEGA PRO CW,2100000,17
3013,RANCAPANGGUNG,CILILIN,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,8800000,29
3014,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT CW FI,3400000,11
3015,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,NEW PCX 160 CBS,4600000,35
3016,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,4400000,17
